GRANT HISTORY

Giving Account,Iguana Fund

Timeframe:,01/01/2025 to 12/27/2025

As of:,12/27/2025 9:08 AM ET

"Submit Date","Approved Date",Organization,Address,"Contact Name","Tax ID","Charitable Sector",Amount,Status,Recurring,"Check Number",Designation,Acknowledgement,"NPO Current Secondary Name"
04/10/2025,04/10/2025,"HOMES FOR OUR TROOPS INC","HOMES FOR OUR TROOPS INC
6 MAIN ST
TAUNTON MA 02780-2733","JOHN S GONSALVES",54-2143612,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
04/01/2025,04/01/2025,"NURTURY INC","2201 WASHINGTON ST STE 306
ROXBURY MA 02119-3212",,04-2105893,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"To support family childcare providers and their needs.","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
04/01/2025,04/01/2025,"MISSION OF DEEDS INC","6 Chapin Ave.
Reading MA 01867",,22-3252651,"Human Services","$1,000.00","Check deposited","annually through indefinitely ",15503590,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
04/01/2025,04/01/2025,"GALAPAGOS CONSERVANCY INC","1630 CONNECTICUT AVE NW STE 300
WASHINGTON DC 20009-1056",,13-3281486,"Environment and Animals","$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
03/11/2025,03/11/2025,"LAKES REGION FOOD PANTRY","LAKES REGION FOOD PANTRY
PO Box 1132
Moultonboro NH 03254","Amy Norton",36-4743975,"Human Services","$500.00","Check deposited","semi-annually through indefinitely ",15454627,"Where it's needed most","Iguana Fund",
03/03/2025,03/03/2025,"SECOND STEP INC","29 Crafts St, Suite 150
Newton MA 02458",,22-2868513,"Human Services","$1,500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
03/03/2025,03/03/2025,"TRUSTEES OF RESERVATIONS","200 HIGH ST FL 4
BOSTON MA 02110-3036",,04-2105780,"Environment and Animals","$2,500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
02/26/2025,02/26/2025,"INSTITUTE OF CONTEMPORARY ART","25 HARBOR SHORE DR
BOSTON MA 02210-2172",,04-2104327,"Arts and Culture","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
02/18/2025,02/18/2025,"FRIENDS OF THE ROBBINS LIBRARY","700 Massachusetts Ave
Arlington MA 02476-4906",,22-2481283,Education,"$500.00","Check deposited","annually through indefinitely ",15393723,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
02/17/2025,02/17/2025,"POTTERS HOUSE CHURCH INC","1658 COLUMBIA RD NW
WASHINGTON DC 20009-3602",,52-1915038,Religion,"$100.00","Check deposited",,15390290,"Where it's needed most","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
02/10/2025,02/10/2025,"INTERNATIONAL RESCUE COMMITTEE INC","PO BOX 6068
ATTN OPERATIONS AND DEVELOPMENT
ALBERT LEA MN 56007-6668",,13-5660870,"International Affairs","$5,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
02/10/2025,02/10/2025,"WEST END HOUSE INC","105 ALLSTON ST
ALLSTON MA 02134-5030",,04-2105825,"Human Services","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
02/03/2025,02/05/2025,"UNITED NATIONS FOUNDATION INC","NOTHING BUT NETS
PO BOX 96619
WASHINGTON DC 20090-6619",,58-2368165,"International Affairs","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474",
02/03/2025,02/03/2025,"MASSACHUSETTS AUDUBON SOCIETY INC","208 S GREAT RD
LINCOLN MA 01773-4816",,04-2104702,"Environment and Animals","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
01/21/2025,01/28/2025,"PLANTING HOPE INC","PLANTING HOPE INC
88 CHETWOOD TER
FANWOOD NJ 07023-1503","Ricardo Arocha",99-1502557,"Society Benefit","$1,000.00","Check deposited",,15341778,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
01/21/2025,01/21/2025,"ANIMAL RESCUE LEAGUE OF BOSTON","10 ANNAS PL
DEDHAM MA 02026-4042",,04-2103714,"Environment and Animals","$250.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
01/21/2025,01/21/2025,"HOUSING CORPORATION OF ARLINGTON","252 MASSACHUSETTS AVE
ARLINGTON MA 02474-8426",,04-2944144,"Human Services","$1,000.00","Check deposited","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474","PAMELA HALLETT"
01/21/2025,01/21/2025,"NATURE CONSERVANCY","ELIZABETH KOEHLER
4245 FAIRFAX DR STE 100
ATTN TREASURY DEPARTMENT
ARLINGTON VA 22203-1637",,53-0242652,"Environment and Animals","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474","ELIZABETH KOEHLER"
01/21/2025,01/21/2025,"TRUSTEES OF BOSTON UNIVERSITY","WBUR 90.9 FM
890 COMMONWEALTH AVE STE 2
BOSTON MA 02215-1212",,04-2103547,Education,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
01/21/2025,01/22/2025,"MASSACHUSETTS SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS","MSPCA ANGELL
350 S HUNTINGTON AVE
ANGELL HEADQUARTERS
BOSTON MA 02130-4803",,04-2103597,"Environment and Animals","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474","MSPCA ANGELL"
01/21/2025,01/21/2025,"MUSEUM OF FINE ARTS","465 HUNTINGTON AVE
BOSTON MA 02115-5523",,04-2103607,"Arts and Culture","$1,500.00","EFT received","annually through indefinitely ",,"Annual Gift","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
01/21/2025,01/21/2025,"WGBH EDUCATIONAL FOUNDATION","WGBH
1 GUEST ST
BOSTON MA 02135",,04-2104397,"Arts and Culture","$1,000.00","EFT received","annually through indefinitely ",,"Annual Gift","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",WGBH
01/02/2025,01/02/2025,"INTERNET ARCHIVE","300 FUNSTON AVE
SAN FRANCISCO CA 94118-2116",,94-3242767,"Human Services","$500.00","EFT received","semi-annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
